time,T_h_model,T_h_meas,T_h_assim,T_c_model,T_c_meas,T_c_assim,mdot_model,mdot_assim,dP_pump_mean
130.0,304.49966466929453,305.3059627518292,304.49993370056893,302.3823011764641,301.7007749218785,302.3824970234892,386.1354868405773,386.1354868527713,87259.89187557089
130.5,304.4947671141737,304.5298254958723,304.4949311447253,302.38887650236495,302.5181688620697,302.3890300041252,387.00369972222603,387.00369972130096,86836.14421120904
131.0,304.48989585380616,304.50197010042666,304.48930496261937,302.3951836738237,301.7234878954985,302.39458917143054,387.8676870028043,387.86768705779053,86413.69822888201
131.5,304.48439561988476,303.58990908995634,304.4834056985217,302.40071877014424,302.27689945011923,302.3998101236153,388.72746014185896,388.7274602061014,85992.55996244037
132.0,304.47862244343946,304.96216378304564,304.47974084689986,302.4054595928152,302.95973246558094,302.4065149762275,389.58303582593976,389.5830357115085,85572.73482024632
132.5,304.4750704511936,304.1545913856224,304.4743958361767,302.41216794803114,302.1662340515045,302.41151605693403,390.4344270481662,390.4344271129162,85154.22557175138
133.0,304.46983915765054,305.8503212104672,304.471096959333,302.41767780404797,302.3484818758158,302.4188519689532,391.2816443217807,391.28164415062884,84737.03635121237
133.5,304.4666609553454,305.1526667766814,304.4675526564023,302.4244162885665,302.72288425369817,302.42528485929347,392.12470372937753,392.1247036357992,84321.17306032695
134.0,304.46322575938166,304.17291261434787,304.4626901208428,302.4309255071685,302.15742544112754,302.43038729300014,392.96361343310673,392.9636135217801,83906.63803568787
134.5,304.458473353407,304.2855434456219,304.4581663275673,302.4358964124013,302.20881131126635,302.4355818194167,393.7983937140409,393.7983937832601,83493.43787177399
135.0,304.45405608675156,304.70476865959296,304.45437433568213,302.4404493747728,302.4598031044397,302.44076178988706,394.629054362295,394.62905428584446,83081.57314853574
135.5,304.45035712066357,304.56907435671957,304.45055403778076,302.4460802401802,302.52306953242885,302.4462719181539,395.4556078712945,395.45560781866754,82671.04932814502
136.0,304.44663809330143,305.030440724072,304.4479387594989,302.4512809448162,303.2043246214387,302.45263211113905,396.2780701675874,396.2780697703944,82261.87034051679
136.5,304.44411823185163,305.1557849579488,304.44529256304804,302.45765133179475,302.612047473207,302.45881780101814,397.09645083587924,397.0964505502595,81854.03873248526
137.0,304.4415657449058,304.4655495998003,304.44200500951973,302.463881999636,302.9403624736094,302.4643465590482,397.9107677750207,397.91076762987495,81447.55942516617
137.5,304.4383727156264,304.9393537954496,304.43933700775983,302.46937433737844,302.9693979481012,302.47035981021605,398.72103522890114,398.7210348349522,81042.43373911374
138.0,304.43579766218517,304.3066661275429,304.43663238470936,302.47520325821347,303.2927362100193,302.4761066317601,399.5272615356304,399.5272610371386,80638.66470657657
138.5,304.43318249620893,305.0430017114194,304.43438603924545,302.48072199391663,303.12082823087957,302.48196191352633,400.329463602792,400.32946302402144,80236.25774036667
139.0,304.4310196798664,304.35927285697943,304.430779189309,302.48660867732616,302.3219978129792,302.4863563305881,401.1276556297877,401.12765574979034,79835.21421504661
139.5,304.42749538586594,303.76346870392763,304.426760673483,302.49089910961,302.5765473427247,302.49017218099783,401.92184890238843,401.9218492069577,79435.53632135922
140.0,304.42355709779287,304.6068418050296,304.422409007464,302.4950657922524,301.11233055305644,302.4938035025845,402.7120595321433,402.7120601059828,79037.22864433343
140.5,304.4192896583768,304.44885198412544,304.4188499313348,302.4985379801825,301.98113156542917,302.4980576321472,403.498300751515,403.4983009559938,78640.29231199877
141.0,304.4158123955876,304.61286505416206,304.41586576120415,302.50228290393983,302.0819759174949,302.5023212387282,404.28058497337116,404.2805849664824,78244.73046721319
141.5,304.41289960197224,305.4535712847041,304.4145835157573,302.50675592779834,303.06511336386404,302.5084816153736,405.05892561176535,405.05892489370314,77850.54581293058
142.0,304.41169362214424,304.9416357678279,304.4126747131809,302.5125514694823,302.7419105331973,302.5135559962159,405.8333388665999,405.83333846913956,77457.74119260779
142.5,304.40985271444043,305.0408310239951,304.41024820711107,302.51736509489604,302.3423552859758,302.5177429041617,406.6038362659012,406.6038361749969,77066.31684658182
143.0,304.4074874970152,304.28727707497563,304.4062027113651,302.5218489287329,301.68294939459855,302.52047255989015,407.3704321205075,407.3704325998457,76676.27658638776
143.5,304.4035074616986,303.900349121103,304.40294566493185,302.52460020807723,302.67812078199523,302.524042427925,408.1331445089812,408.13314458210834,76287.6220617221
144.0,304.40031781631916,304.1698641708461,304.4004692256145,302.5279871390587,302.8497637123971,302.52817287311325,408.89198048423657,408.89198038801914,75900.3536885485
144.5,304.39790516315395,304.0532935531206,304.3990740273095,302.53217687209457,303.77851600289694,302.53344015850723,409.6469579332231,409.64695764300427,75514.47614837936
145.0,304.3965757510995,303.63445124529795,304.3958249845995,302.53736913667797,302.3924816081117,302.5366220506472,410.3980877473612,410.39808777534404,75129.98928261429
145.5,304.3933886038669,304.1147063806364,304.39367036640766,302.540379079772,303.18909538519273,302.5406976512264,411.1453892995294,411.1453891709509,74746.8959976355
146.0,304.39129259271374,305.38957511650085,304.39267941900357,302.5444086510369,302.87299819436146,302.5458430027666,411.88887260052155,411.88887252739556,74365.19556463798
146.5,304.39035913625395,304.0690086199439,304.39046985501716,302.549084812458,302.97491004462216,302.5492351598727,412.62855320728056,412.62855314418533,73984.89109131528
147.0,304.3881968403168,304.67318410242353,304.3879852006464,302.55312331416064,302.2707806325739,302.5528839384898,413.36444347280224,413.36444352946864,73605.98325064896
147.5,304.3857712057559,304.071225669227,304.3859944812276,302.55674453109964,302.91332611728154,302.55700712931014,414.0965574693509,414.096557411647,73228.47405983899
148.0,304.38383989864104,303.9850685026169,304.38269483120416,302.56064259882083,301.7527188371343,302.5594175677046,414.82491069106703,414.82491063958156,72852.36482874601
148.5,304.3805920755219,304.8674512161815,304.3822941805665,302.5628883758583,303.6355494764971,302.5647237155033,415.54951745236986,415.5495175947528,72477.65569247279
149.0,304.38024393978264,303.437393295112,304.3787523170322,302.5682383211979,302.0900597694329,302.5666842043839,416.27038915889256,416.2703888963125,72104.34745390824
149.5,304.3767510878482,303.6713119881272,304.376030055442,302.5702107892845,302.5944814971699,302.5694911538555,416.9875417256698,416.9875415379496,71732.4427744244
150.0,304.3740791303919,304.0585601988893,304.37291594369987,302.57287610706766,301.94688543124283,302.57162412447104,417.70098414949746,417.7009837831467,71361.94094727276
150.5,304.3710101611655,305.7685678259446,304.3724718286371,302.5750251622556,302.659145271568,302.57653400232346,418.41073734510724,418.4107378843761,70992.84569498028
151.0,304.3706141307961,305.1243678330897,304.37064519246417,302.57968068851,302.1293673978007,302.5796638432704,419.1168139497289,419.11681398472655,70625.15342308767
151.5,304.3688279583292,303.709533300152,304.3674734198752,302.583050077972,302.07858518734906,302.58157431541156,419.81922512361865,419.8192246980836,70258.8667191727
152.0,304.36569996671767,305.0207571177979,304.36651070729187,302.58483730823883,302.71581847213696,302.5857229397139,420.51798675894025,420.5179871412179,69893.98681714082
152.5,304.3647823286286,303.37632381619215,304.36388708905696,302.58842379297005,302.8092858451064,302.5874838146609,421.21311633450534,421.2131159000703,69530.51253122665
153.0,304.36218915685555,304.57467498384926,304.36202602934065,302.5906398058759,302.5984918754672,302.59045079686234,421.904624926789,421.9046248909373,69168.44390686903
153.5,304.36036852585744,304.876738148802,304.3604970269453,302.5934255658614,302.1849009383675,302.5935049058546,422.5925249705043,422.592525099479,68807.78125872408
154.0,304.3588754295441,303.68860647424174,304.3588946181751,302.5968481710347,303.2268682259782,302.5969346571285,423.27683204376314,423.27683197116835,68448.52635507433
